tool,th,th_class
MetaSVM_score,0.35000000000000003,above
MetaSVM_score,0.4,above
MetaSVM_score,0.45,above
MetaSVM_score,0.5,above
MetaSVM_score,0.55,above
MetaSVM_score,0.6000000000000001,above
MetaSVM_score,0.6500000000000001,above
MetaSVM_score,0.7000000000000001,above
MetaSVM_score,0.7500000000000001,above
MetaSVM_score,0.8,above
MetaSVM_score,0.8500000000000001,above
MetaSVM_score,0.9000000000000001,above
MetaSVM_score,0.95,above
MutPred_score,0.05,above
MutPred_score,0.1,above
MutPred_score,0.15000000000000002,above
MutPred_score,0.2,above
MutPred_score,0.25,above
MutPred_score,0.3,above
MutPred_score,0.35000000000000003,above
MutPred_score,0.4,above
MutPred_score,0.45,above
MutPred_score,0.5,above
MutPred_score,0.55,above
MutPred_score,0.6000000000000001,above
MutPred_score,0.6500000000000001,above
MutPred_score,0.7000000000000001,above
MutPred_score,0.7500000000000001,above
MutPred_score,0.8,above
MutPred_score,0.8500000000000001,above
MutPred_score,0.9000000000000001,above
MutPred_score,0.95,above
REVEL_score,0.05,above
REVEL_score,0.1,above
REVEL_score,0.15000000000000002,above
REVEL_score,0.2,above
REVEL_score,0.25,above
REVEL_score,0.3,above
REVEL_score,0.35000000000000003,above
REVEL_score,0.4,above
REVEL_score,0.45,above
REVEL_score,0.5,above
REVEL_score,0.55,above
REVEL_score,0.6000000000000001,above
REVEL_score,0.6500000000000001,above
REVEL_score,0.7000000000000001,above
REVEL_score,0.7500000000000001,above
REVEL_score,0.8,above
REVEL_score,0.8500000000000001,above
REVEL_score,0.9000000000000001,above
REVEL_score,0.95,above
VEST4_score_seperated,0.05,above
VEST4_score_seperated,0.1,above
VEST4_score_seperated,0.15000000000000002,above
VEST4_score_seperated,0.2,above
VEST4_score_seperated,0.25,above
VEST4_score_seperated,0.3,above
VEST4_score_seperated,0.35000000000000003,above
VEST4_score_seperated,0.4,above
VEST4_score_seperated,0.45,above
VEST4_score_seperated,0.5,above
VEST4_score_seperated,0.55,above
VEST4_score_seperated,0.6000000000000001,above
VEST4_score_seperated,0.6500000000000001,above
VEST4_score_seperated,0.7000000000000001,above
VEST4_score_seperated,0.7500000000000001,above
VEST4_score_seperated,0.8,above
VEST4_score_seperated,0.8500000000000001,above
VEST4_score_seperated,0.9000000000000001,above
VEST4_score_seperated,0.95,above
fathmm-MKL_coding_score,0.05,above
fathmm-MKL_coding_score,0.1,above
fathmm-MKL_coding_score,0.15000000000000002,above
fathmm-MKL_coding_score,0.2,above
fathmm-MKL_coding_score,0.25,above
fathmm-MKL_coding_score,0.3,above
fathmm-MKL_coding_score,0.35000000000000003,above
fathmm-MKL_coding_score,0.4,above
fathmm-MKL_coding_score,0.45,above
fathmm-MKL_coding_score,0.5,above
fathmm-MKL_coding_score,0.55,above
fathmm-MKL_coding_score,0.6000000000000001,above
fathmm-MKL_coding_score,0.6500000000000001,above
